word,wordlen,speak_time,stop_time,period
here,4,0.17999999999999972,0.0,0
that,4,0.39000000000000057,1.7999999999999972,1
that's,6,0.990000000000002,0.05999999999999872,0
nothing,7,0.4200000000000017,1.4100000000000001,1
which,5,0.23999999999999844,0.0,0
is,2,0.21000000000000085,0.0,0
what,4,0.23999999999999844,0.0,0
i,1,0.5100000000000016,0.3000000000000007,0
as,2,0.23999999999999844,0.0,0
a,1,0.030000000000001137,0.0,0
speaker,7,0.3914079999999984,0.0,0
at,2,0.08765999999999963,0.0,0
today's,7,0.27093200000000195,0.0,0
conference,10,0.629999999999999,0.5399999999999991,1
how,3,0.17999999999999972,0.013879000000002861,0
for,3,0.13612099999999927,0.0,0
you,3,0.14999999999999858,0.0,0
are,3,0.21000000000000085,1.1999999999999993,1
i,1,0.21000000000000085,0.0,0
have,4,0.41999999999999815,0.0,0
nothing,7,0.4200000000000017,1.0200000000000031,0
nada,4,0.4799999999999969,0.8400000000000034,0
zip,3,0.4199999999999946,0.7800000000000011,0
zilch,5,0.6600000000000037,0.6899999999999977,0
zippo,5,0.509999999999998,1.1700000000000017,0
nothing,7,0.2700000000000031,0.0,0
smart,5,0.5699999999999932,0.6300000000000026,0
nothing,7,0.2700000000000031,0.0,0
inspirational,13,0.7199999999999989,0.060000000000002274,0
nothing,7,0.269999999999996,0.0,0
even,4,0.17999999999999972,0.0,0
remotely,8,0.4200000000000017,0.0,0
researched,10,0.6300000000000026,0.02999999999999403,0
at,2,0.17999999999999972,0.0,0
all,3,0.4200000000000017,1.0500000000000043,1
i,1,0.14999999999999858,0.0,0
have,4,0.17999999999999972,0.0,0
absolutely,10,0.6899999999999977,0.0,0
nothing,7,0.3299999999999983,0.0,0
to,2,0.060000000000002274,0.0,0
say,3,0.29999999999999716,0.0,0
whatsoever,10,0.8400000000000034,0.9600000000000009,1
and,3,0.21000000000000085,0.0,0
yet,3,0.29999999999999716,0.060000000000002274,0
through,7,0.39000000000000057,0.0,0
my,2,0.21000000000000085,0.0,0
manner,6,0.3299999999999983,0.0,0
of,2,0.14999999999999858,0.0,0
speaking,8,0.5399999999999991,0.0,0
i,1,0.14999999999999858,0.0,0
will,4,0.15000000000000568,0.0,0
make,4,0.20999999999999375,0.0,0
it,2,0.09000000000000341,0.0,0
seem,4,0.29999999999999716,0.0,0
like,4,0.240000000000002,0.0,0
i,1,0.09000000000000341,0.0,0
do,2,0.4799999999999969,2.1300000000000026,1
like,4,0.23999999999999488,0.0,0
what,4,0.15000000000000568,0.0,0
i'm,3,0.23999999999999488,0.0,0
saying,6,0.4200000000000017,0.030000000000001137,0
is,2,0.269999999999996,0.0,0
brilliant,9,0.8400000000000034,0.45000000000000284,0
and,3,0.269999999999996,0.0,0
maybe,5,0.6899999999999977,0.030000000000001137,0
just,4,0.39000000000000057,0.0,0
maybe,5,0.5399999999999991,0.39000000000000057,0
you,3,0.17999999999999972,0.0,0
will,4,0.12000000000000455,0.0,0
feel,4,0.6599999999999966,0.5700000000000003,0
like,4,0.240000000000002,0.0,0
you've,6,0.14999999999999858,0.0,0
learned,7,0.29999999999999716,0.0,0
something,9,0.480000000000004,2.009999999999998,1
now,3,0.480000000000004,0.3299999999999983,0
i'm,3,0.19182099999999735,0.018179000000003498,0
we,2,0.05999999999999517,0.0027610000000066748,0
get,3,0.147238999999999,0.0,0
started,7,0.29999999999999716,0.0,0
with,4,0.12000000000000455,0.0,0
the,3,0.0899999999999892,0.0,0
opening,7,0.39000000000000057,0.30000000000001137,1
i'm,3,0.0899999999999892,0.0,0
gonna,5,0.12000000000000455,0.0,0
make,4,0.15000000000000568,0.0,0
a,1,0.030000000000001137,0.0,0
lot,3,0.11999999999999034,0.0,0
of,2,0.060000000000002274,0.02212600000000009,0
hand,4,0.24787399999999593,0.0,0
gestures,8,0.5400000000000063,0.4200000000000017,1
i'm,3,0.09000000000000341,0.0,0
going,5,0.11999999999999034,0.0,0
to,2,0.060000000000002274,0.0,0
do,2,0.12000000000000455,0.0,0
this,4,0.14999999999999147,0.0,0
with,4,0.09000000000000341,0.0,0
my,2,0.12000000000000455,0.0,0
right,5,0.23999999999999488,0.0,0
hand,4,0.269999999999996,0.0,0
i'm,3,0.09000000000000341,0.0,0
going,5,0.12000000000000455,0.0,0
to,2,0.060000000000002274,0.0,0
do,2,0.11999999999999034,0.0,0
this,4,0.15000000000000568,0.0,0
with,4,0.12000000000000455,0.0,0
my,2,0.14999999999999147,0.0,0
left,4,0.39000000000000057,0.060000000000002274,0
i'm,3,0.29999999999999716,0.0,0
going,5,0.12000000000000455,0.0,0
to,2,0.060000000000002274,0.0,0
adjust,6,0.269999999999996,0.0,0
my,2,0.12000000000000455,0.0,0
glasses,7,0.5999999999999943,0.8400000000000034,0
and,3,0.15000000000000568,0.0,0
then,4,0.11999999999999034,0.0,0
i'm,3,0.09000000000000341,0.0,0
going,5,0.12000000000000455,0.0,0
to,2,0.05999999999998806,0.0,0
ask,3,0.2715090000000089,0.0,0
you,3,0.08849100000000476,0.0,0
all,3,0.09550799999999526,0.0,0
the,3,0.0841700000000003,0.0,0
question,8,0.6003219999999914,0.1769170000000031,0
by,2,0.12308300000000827,0.0,0
show,4,0.20999999999999375,0.0,0
of,2,0.09000000000000341,0.0,0
hands,5,0.4200000000000017,0.0,0
how,3,0.14999999999999147,0.0,0
many,4,0.12000000000000455,0.0,0
of,2,0.09000000000000341,0.0,0
y'all,5,0.1799999999999926,0.0019340000000056534,0
been,4,0.14806600000000003,0.0,0
asked,5,0.1799999999999926,0.0,0
a,1,0.030000000000001137,0.0,0
question,8,0.3299999999999983,0.0,0
before,6,0.35999999999999943,2.430000000000007,1
okay,4,0.269999999999996,0.0,0
great,5,0.21000000000000796,0.0,0
i'm,3,0.0899999999999892,0.0,0
seeing,6,0.18000000000000682,0.0,0
some,4,0.18000000000000682,0.0,0
hands,5,0.29999999999999716,0.0,0
and,3,0.11999999999999034,0.0,0
again,5,0.2400000000000091,0.0,0
i,1,0.11999999999999034,0.0,0
have,4,0.09000000000000341,0.0,0
nothing,7,0.29999999999999716,0.0,0
here,4,0.27000000000001023,2.3100000000000023,0
now,3,0.35999999999999943,0.0,0
i'm,3,0.1799999999999926,0.0,0
going,5,0.12000000000000455,0.0,0
to,2,0.060000000000002274,0.0,0
react,5,0.39000000000000057,0.0,0
to,2,0.05999999999998806,0.0,0
that,4,0.3300000000000125,0.0,0
and,3,0.11999999999999034,0.0,0
act,3,0.18000000000000682,0.0,0
like,4,0.1799999999999926,0.0,0
i'm,3,0.12000000000000455,0.0,0
telling,7,0.23999999999999488,0.0,0
you,3,0.15000000000000568,0.0,0
a,1,0.20999999999999375,0.0,0
personal,8,0.39000000000000057,0.0,0
anecdote,8,0.5100000000000051,1.1099999999999994,1
something,9,0.4200000000000017,0.0,0
to,2,0.1799999999999926,0.0,0
break,5,0.21000000000000796,0.0,0
the,3,0.09000000000000341,0.0,0
tension,7,0.47999999999998977,0.6600000000000108,0
something,9,0.4199999999999875,0.0,0
to,2,0.3692360000000008,0.020763999999999783,0
and,3,0.11146700000000465,0.008532999999999902,0
your,4,0.09000000000000341,0.0,0
myself,6,0.3299999999999983,0.0,0
a,1,0.027531999999993673,0.0,0
little,6,0.1376730000000066,0.0,0
bit,3,0.3147950000000037,0.8099999999999881,0
something,9,0.45000000000000284,0.0,0
kind,4,0.27000000000001023,0.0,0
of,2,0.29999999999999716,1.0499999999999972,0
embarrassing,12,0.8100000000000023,2.759999999999991,0
and,3,0.15000000000000568,0.0,0
you,3,0.060000000000002274,0.0,0
guys,4,0.1799999999999926,0.0,0
are,3,0.060000000000002274,0.0,0
going,5,0.12000000000000455,0.0,0
to,2,0.060000000000002274,0.0,0
make,4,0.11999999999999034,0.0,0
an,2,0.09000000000000341,0.0,0
awesome,7,0.4888180000000091,0.0,0
and,3,0.2611819999999909,1.5600069999999988,0
it's,4,0.21000000000000796,0.0,0
true,4,0.47999299999999323,0.09000000000000341,0
that,4,0.12000000000000455,0.0,0
really,6,0.23999999999999488,0.0,0
happen,6,0.39000000000000057,2.3400000000000034,1
and,3,0.14999999999999147,0.0,0
now,3,0.12000000000000455,0.0,0
i'm,3,0.09000000000000341,0.0,0
going,5,0.11999999999999034,0.0,0
to,2,0.060000000000002274,0.0,0
bring,5,0.12000000000000455,0.0,0
it,2,0.060000000000002274,0.0,0
to,2,0.09000000000000341,0.0,0
